station,name,lat,lon,elev
44203,Rinchinlhumbe (Mongolia),51.11416667,99.66666667,1582
44207,Hatgal (Mongolia),50.43944444,100.1508333,1666
44210,Nogoonnuur (Mongolia),49.61527778,90.24305556,1474
44211,Tes (Mongolia),50.47833333,93.59944444,800
44212,Ulaangom (Mongolia),49.97138889,92.07777778,939
44213,Baruunturuun (Mongolia),49.65833333,94.40388889,1234
44214,Ulgi (Mongolia),48.97972222,89.93833333,1720
44215,Omno-Gobi (Mongolia),49.10472222,91.72611111,1589
44216,Hunhataoortoo (Mongolia),48.81666667,93.1,1051
44217,Tolbo (Mongolia),48.41666667,90.3,2101
44218,Hovd (Mongolia),47.99583333,91.63222222,1405
44219,Urgamal (Mongolia),48.51666667,94.3,1263
44220,Numrug (Mongolia),48.87055556,96.96166667,1848
44221,Bayan-Uul (Mongolia),49.70027778,96.36305556,1420
44222,Chandagat (Mongolia),49.52222222,97.73444444,1745
44223,Rashaant (Mongolia),49.12111111,101.4563889,1385
44224,Tsetsen Uul (Mongolia),48.76666667,96,1928
44225,Tosontsengel (Mongolia),48.76305556,98.26611111,1713
44229,Tariat (Mongolia),48.15666667,99.87666667,2060
44230,Tarialan (Mongolia),49.60916667,101.9844444,1217
44231,Muren (Mongolia),49.63833333,100.1669444,1291
44232,Hutag (Mongolia),49.39333333,102.7088889,933
44233,Ingettolgoi (Mongolia),49.45555556,103.9775,801
44235,Mogod (Mongolia),48.28,102.98,1439
44236,Erdenet (Mongolia),49.03694444,104.0866667,1300
44237,Erdenemandal (Mongolia),48.52944444,101.3672222,1509
44239,Bulgan (Mongolia),48.81666667,103.5169444,1219
44240,Bata Sumber (Mongolia),48.41694444,106.7169444,630
44241,Baruunkharaa (Mongolia),48.91305556,106.0894444,809
44242,Hadatyn (Mongolia),49.45,107.2,762
44243,Ulygaiin Dugang (Mongolia),49.83333333,107.7333333,883
44244,Darkhan (Mongolia),49.49,105.9397222,918
44245,Dzuunharaa (Mongolia),48.86694444,106.4669444,895
44246,Bayanchandmani (Mongolia),48.2275,106.2852778,1257
44247,Ugtaal (Mongolia),48.25833333,105.4041667,1143
44248,Terelj (Mongolia),47.98861111,107.4566667,1523
44250,Mungunmorit (Mongolia),48.20583333,108.4861111,1429
44252,Jargalant (Mongolia),48.54527778,105.8819444,1007
